지번주소,구 이름,건물명,사용승인일,통합용도명,위도,경도,사용승인일.1,연식,대상 여부,진행 현황,연도별 사업 구분
서울특별시 용산구 용문동 90,용산구,브라운스톤 용산,20110705,경로당,37.53672572,126.9590189,20110705,13,대상,예비대상,
서울특별시 용산구 한남동 257-9,용산구,한남1동 경로당,19881102,경로당,37.53335378,127.0084063,19881102,36,대상,사업완료,2022.0
서울특별시 광진구 중곡동 624-21,광진구,구립 중곡1동 자람터어린이집,20170227,어린이집,37.56030473,127.0772345,20170227,7,미대상,,
서울특별시 광진구 능동 249-4,광진구,구립 능동 꿈맞이 어린이집,20170227,어린이집,37.5528114,127.0859748,20170227,7,미대상,,
서울특별시 광진구 구의동 634-13,광진구,구립 구의1동 아이터어린이집,20170825,어린이집,37.54384805,127.0837692,20170825,7,미대상,,
서울특별시 광진구 광장동 5-117,광진구,아차산 숲속도서관,20220818,도서관,37.5518983,127.1012401,20220818,2,미대상,,
서울특별시 광진구 자양동 231-51,광진구,도담어린이집,20140414,어린이집,37.53619221,127.0799251,20140414,10,대상,예비대상,
서울특별시 광진구 자양동 594,광진구,자양문화체육센터,20191014,도서관,37.52954393,127.0782776,20191014,5,미대상,,
서울특별시 광진구 자양동 629-40,광진구,구립 자양1동 봄뜰어린이집,20180808,어린이집,37.53362236,127.0828301,20180808,6,미대상,,
서울특별시 광진구 군자동 342-10,광진구,양마2경로당,19841107,경로당,37.55178545,127.0705828,19841107,40,대상,예비대상,
서울특별시 동대문구 제기동 681-2,동대문구,제기1동복지센타,20011016,어린이집,37.58574946,127.0394795,20011016,23,대상,예비대상,
서울특별시 동대문구 전농동 558-40,동대문구,전농1동경로당,19870616,경로당,37.57882492,127.0521326,19870616,37,대상,대상선정,
서울특별시 동대문구 전농동 688,동대문구,래미안 아름숲,20120726,경로당,37.57833442,127.0604417,20120726,12,대상,사업완료,2022.0
서울특별시 동대문구 전농동 690,동대문구,래미안 크레시티,20141023,경로당,37.57550131,127.0496964,20141023,10,대상,대상선정,
서울특별시 동대문구 답십리동 50-35,동대문구,우아세어린이집,20210409,어린이집,37.57114586,127.0576966,20210409,3,미대상,,
서울특별시 동대문구 답십리동 474-5,동대문구,동대문구 답십리 도서관,20140227,도서관,37.57319448,127.0503628,20140227,10,대상,예비대상,
서울특별시 동대문구 답십리동 557-1,동대문구,태양하나어린이집,20210107,어린이집,37.57415162,127.0452014,20210107,3,미대상,,
서울특별시 동대문구 답십리동 808-2,동대문구,대림아파트,20030108,어린이집,37.5711424,127.0643978,20030108,21,대상,사업완료,2020.0
서울특별시 동대문구 답십리동 1003,동대문구,래미안위브,20141013,경로당,37.5728512,127.0524341,20141013,10,대상,사업완료,2022.0
서울특별시 동대문구 답십리동 1012-2,동대문구,예뜰어린이집,20210817,어린이집,37.57490426,127.0550845,20210817,3,미대상,,
서울특별시 동대문구 장안동 289-31,동대문구,연세 어린이집,20140717,어린이집,37.57608541,127.0704359,20140717,10,대상,예비대상,
서울특별시 동대문구 장안동 329-2,동대문구,장안 힐스테이트,20070804,경로당,37.57631714,127.0745454,20070804,17,대상,사업완료,2022.0
서울특별시 동대문구 장안동 343,동대문구,경로당,20030116,경로당,37.57132685,127.0725935,20030116,21,대상,예비대상,
서울특별시 동대문구 장안동 389-4,동대문구,삼성 어린이집,20140814,어린이집,37.57128439,127.0682467,20140814,10,대상,예비대상,
서울특별시 동대문구 휘경동 282-4,동대문구,동대문구립휘경어린이도서관,19850705,도서관,37.58867775,127.0605973,19850705,39,대상,사업완료,2021.0
서울특별시 동대문구 이문동 428,동대문구,신이문 금호어울림,20081010,경로당,37.60316424,127.0633496,20081010,16,대상,대상선정,
서울특별시 중랑구 면목동 181-44,중랑구,꼬마사랑어린이집,20121121,어린이집,37.58956062,127.0763023,20121121,12,대상,예비대상,
서울특별시 중랑구 면목동 528-7,중랑구,천사어린이집,19960111,어린이집,37.57989992,127.0918362,19960111,28,대상,대상선정,
서울특별시 중랑구 중화동 37-4,중랑구,구립중화경로복지관,20080404,경로당,37.60330651,127.0811519,20080404,16,대상,예비대상,
서울특별시 중랑구 망우동 349-9,중랑구,어울림어린이집,20140507,어린이집,37.60273065,127.1032341,20140507,10,대상,사업완료,2021.0
서울특별시 중랑구 망우동 388-4,중랑구,동심어린이집,20130228,어린이집,37.59617311,127.1013,20130228,11,대상,사업완료,2020.0
서울특별시 중랑구 망우동 467-3,중랑구,배꽃어린이집,19990225,어린이집,37.59749042,127.099105,19990225,25,대상,대상선정,
서울특별시 중랑구 망우동 583-1,중랑구,중랑숲 어린이 도서관,20120816,도서관,37.60266697,127.1039248,20120816,12,대상,예비대상,
서울특별시 중랑구 신내동 283-1,중랑구,국공립새우개하나어린이집,20200617,어린이집,37.61800416,127.1012164,20200617,4,미대상,,
서울특별시 성북구 돈암동 609-1,성북구,한진아파트,19980701,도서관,37.59446798,127.0127047,19980701,26,대상,사업완료,2022.0
서울특별시 성북구 돈암동 644,성북구,돈암코오롱하늘채,20161229,도서관,37.59882867,127.0136227,20161229,8,미대상,,
서울특별시 성북구 동소문동6가 146,성북구,성북구보건지소,19910730,보건소,37.59360266,127.0157504,19910730,33,대상,예비대상,
서울특별시 성북구 정릉동 266-121,성북구,청수도서관,19871029,도서관,37.61174916,127.0107709,19871029,37,대상,대상선정,
서울특별시 성북구 정릉동 1028-5,성북구,성북생명숲어린이집,20141230,어린이집,37.61602899,127.0091858,20141230,10,대상,예비대상,
서울특별시 성북구 길음동 1289-12,성북구,길음종합사회복지관,20200622,어린이집,37.60673257,127.0267839,20200622,4,미대상,,
서울특별시 성북구 종암동 134,성북구,래미안라센트,20110131,경로당,37.59925541,127.0392375,20110131,13,대상,대상선정,
서울특별시 성북구 석관동 407,성북구,래미안석관,20090626,경로당,37.60916008,127.0548606,20090626,15,대상,예비대상,
서울특별시 강북구 번동 147,강북구,강북문화정보센터,20010131,도서관,37.6251148,127.0360793,20010131,23,대상,대상선정,
서울특별시 강북구 수유동 696-6,강북구,구립수유2동어린이집,19971121,어린이집,37.64906756,127.0148896,19971121,27,대상,예비대상,
서울특별시 은평구 대조동 172-23,은평구,구립 대조어린이집,20150213,어린이집,37.61007469,126.9214343,20150213,9,미대상,,
서울특별시 마포구 공덕동 4-86,마포구,연봉 경로당,20060222,경로당,37.55035891,126.9622253,20060222,18,대상,예비대상,
서울특별시 마포구 공덕동 370-4,마포구,공덕 크로시티,20230710,경로당,37.5474534,126.9505938,19841228,40,대상,사업완료,2021.0
서울특별시 마포구 신공덕동 175,마포구,신덕어린이집,20130325,어린이집,37.5443829,126.955371,20130325,11,대상,사업완료,2022.0
서울특별시 마포구 도화동 188,마포구,마포구 도화2동 경로당,20070510,경로당,37.53784768,126.9481109,20070510,17,대상,대상선정,
서울특별시 마포구 도화동 196-7,마포구,도화1동 어린이집,20070904,어린이집,37.5408587,126.9520917,20070904,17,대상,예비대상,
서울특별시 마포구 도화동 347-134,마포구,구립연화어린이집,20050314,어린이집,37.53829921,126.950498,20050314,19,대상,예비대상,
서울특별시 마포구 도화동 357-8,마포구,복사골 작은도서관 청사,19960925,도서관,37.53953417,126.9519229,19960925,28,대상,사업완료,2020.0
서울특별시 마포구 신수동 458,마포구,신수동 복합청사,20100122,어린이집,37.54715758,126.9351023,20100122,14,대상,예비대상,
서울특별시 마포구 성산동 65-4,마포구,성미어린이집,20220120,어린이집,37.56281941,126.9112407,20220120,2,미대상,,
서울특별시 마포구 중동 64-27,마포구,중동어린이집,19910712,어린이집,37.570148,126.9041799,19910712,33,대상,대상선정,
