구,동 이름,STNDD_YR,USE_MM,SUM_EL_GAS
강남구,개포동,2023,12,2416.75098793
강남구,논현동,2023,12,16559.42544198
강남구,대치동,2023,12,12250.44565293
강남구,도곡동,2023,12,4540.87794874
강남구,삼성동,2023,12,9912.11254024
강남구,세곡동,2023,12,187.87398013
강남구,수서동,2023,12,1331.30370026
강남구,신사동,2023,12,10349.58854543
강남구,압구정동,2023,12,111.26349654
강남구,역삼동,2023,12,26499.1048682
강남구,율현동,2023,12,107.83039596
강남구,일원동,2023,12,942.01773007
강남구,자곡동,2023,12,345.40642354
강남구,청담동,2023,12,7445.7188715
강동구,강일동,2023,12,185.85945904
강동구,고덕동,2023,12,469.77747034
강동구,길동,2023,12,3055.17545152
강동구,둔촌동,2023,12,865.77402779
강동구,명일동,2023,12,1726.78849512
강동구,상일동,2023,12,579.14752844
강동구,성내동,2023,12,3338.7273018
강동구,암사동,2023,12,968.241279
강동구,천호동,2023,12,3531.99542361
강북구,미아동,2023,12,3504.26564092
강북구,번동,2023,12,2203.07431561
강북구,수유동,2023,12,3824.45872618
강북구,우이동,2023,12,323.82626466
강서구,가양동,2023,12,1703.40352174
강서구,개화동,2023,12,288.43534772
강서구,공항동,2023,12,4014.8601953099997
강서구,내발산동,2023,12,1324.44689306
강서구,등촌동,2023,12,5300.93556051
강서구,마곡동,2023,12,4363.30352115
강서구,방화동,2023,12,2154.28418078
강서구,염창동,2023,12,1737.5719459700001
강서구,오곡동,2023,12,39.02949966
강서구,오쇠동,2023,12,6.56702978
강서구,외발산동,2023,12,1894.74791865
강서구,화곡동,2023,12,7664.21128303
관악구,남현동,2023,12,709.69684635
관악구,봉천동,2023,12,9949.11360565
관악구,신림동,2023,12,13497.57240328
광진구,광장동,2023,12,609.6305773
광진구,구의동,2023,12,4360.84751627
광진구,군자동,2023,12,904.17194323
광진구,능동,2023,12,875.19186486
광진구,자양동,2023,12,3727.14932343
광진구,중곡동,2023,12,2999.1284148
광진구,화양동,2023,12,3502.1149638
구로구,가리봉동,2023,12,297.60879855
구로구,개봉동,2023,12,1247.99991994
구로구,고척동,2023,12,1313.93159064
구로구,구로동,2023,12,9374.94215179
구로구,궁동,2023,12,530.8814043799999
구로구,신도림동,2023,12,1472.91738947
구로구,오류동,2023,12,1472.9520968
구로구,온수동,2023,12,169.04224997
구로구,천왕동,2023,12,46.51568856
구로구,항동,2023,12,150.66443617
금천구,가산동,2023,12,9515.92048132
금천구,독산동,2023,12,5062.62524811
금천구,시흥동,2023,12,3409.09459328
노원구,공릉동,2023,12,3814.44967131
노원구,상계동,2023,12,6221.48703425
노원구,월계동,2023,12,2192.79793617
노원구,중계동,2023,12,2688.006213
노원구,하계동,2023,12,1057.14788028
도봉구,도봉동,2023,12,1521.72141084
도봉구,방학동,2023,12,2688.49860982
도봉구,쌍문동,2023,12,2294.5899160999998
도봉구,창동,2023,12,3634.5032655
동대문구,답십리동,2023,12,1114.33245439
동대문구,신설동,2023,12,915.15812772
동대문구,용두동,2023,12,2168.81087362
동대문구,이문동,2023,12,822.04654063
동대문구,장안동,2023,12,3670.60861154
동대문구,전농동,2023,12,707.43247048
동대문구,제기동,2023,12,1318.6732249
동대문구,청량리동,2023,12,884.52509468
동대문구,회기동,2023,12,830.37911446
동대문구,휘경동,2023,12,1105.2044746
동작구,노량진동,2023,12,2156.6220055100002
동작구,대방동,2023,12,1446.77104191
동작구,동작동,2023,12,40.99989505
동작구,본동,2023,12,263.01186012
동작구,사당동,2023,12,2737.55084582
동작구,상도1동,2023,12,550.24701342
동작구,상도동,2023,12,2915.20835182
동작구,신대방동,2023,12,1533.76386306
동작구,흑석동,2023,12,1703.87644844
마포구,공덕동,2023,12,2079.04524433
마포구,구수동,2023,12,88.37135327
마포구,노고산동,2023,12,1166.28420807
마포구,당인동,2023,12,30.957034779999997
마포구,대흥동,2023,12,864.86710588
마포구,도화동,2023,12,2163.20167705
마포구,동교동,2023,12,2779.78860901
마포구,마포동,2023,12,320.22403403
마포구,망원동,2023,12,1216.83714178
마포구,상수동,2023,12,1078.00035744
마포구,상암동,2023,12,11887.34246301
마포구,서교동,2023,12,5576.32468602
마포구,성산동,2023,12,2148.03336365
