구,연도,탄소배출량
강서구,2019,23606.198747539816
강서구,2020,22965.20148504281
강서구,2021,23576.73379729986
강서구,2022,24825.378777849604
강서구,2023,25391.183751916815
강서구,2024,26341.553914422693
강서구,2025,27205.100652213892
강서구,2026,28099.680601774027
강서구,2027,28996.83666340054
강서구,2028,29946.527769032356
강서구,2029,30729.430434675596
강서구,2030,31462.115154531148
강서구,2031,32114.232730331365
강서구,2032,32773.01001169913
강서구,2033,33300.52759964672
강서구,2034,33800.15681115023
강서구,2035,34265.30692976129
강서구,2036,34759.24088888834
강서구,2037,35137.087902620005
강서구,2038,35521.1009755125
강서구,2039,35886.71274692642
강서구,2040,36286.43148166715
강서구,2041,36575.22119838565
강서구,2042,36887.12380326281
강서구,2043,37179.99073748759
강서구,2044,37514.59331378729
강서구,2045,37763.33893842614
강서구,2046,38038.61065812423
강서구,2047,38313.748663697894
강서구,2048,38648.35123999851
강서구,2049,38897.096864637155
강서구,2050,38816.710514600534
서울시,2019,19144.3188594528
서울시,2020,18507.614359442417
서울시,2021,18757.365842704545
서울시,2022,19726.25133527078
서울시,2023,19901.37836347474
서울시,2024,20454.06577912737
서울시,2025,20989.636036352345
서울시,2026,21530.50904365347
서울시,2027,22071.282244082002
서울시,2028,22625.94466879228
서울시,2029,23163.275761079636
서울시,2030,23711.588304311386
서울시,2031,24259.62909540828
서울시,2032,24806.13140752146
서울시,2033,25287.052448031387
서울시,2034,25754.858688723853
서울시,2035,26199.14701345412
서울시,2036,26631.853364503735
서울시,2037,27023.164650750652
서울시,2038,27399.910987334737
서울시,2039,27759.960640685294
서울시,2040,28119.668020005443
서울시,2041,28446.819833122092
서울시,2042,28778.621945392893
서울시,2043,29093.846399607675
서울시,2044,29406.470804747263
서울시,2045,29701.083643048038
서울시,2046,30000.531607549918
서울시,2047,30299.87520771212
서울시,2048,30612.49961285127
서울시,2049,30907.112451152134
서울시,2050,30761.374210225345
