지번주소,지붕코드명,구조코드명,구 이름,건물명,건축면적(㎡),지상층수,연면적(㎡),에너지절감율,사용승인일,통합용도명,위도,경도,동 이름,2401 탄소 예측량,건축면적(㎡)_y,지상층수,지하층수,연면적(㎡)_y,그린리모델링진행,사용승인일_y,연식,작년 탄소 배출량 월평균,탄소/연면적,주변 평균,사용승인 연도
서울특별시 용산구 용문동 90,(철근)콘크리트,철근콘크리트구조,용산구,브라운스톤 용산,0,0,179.43,0,20110705,경로당,37.53672572,126.9590189,용문동,318.40524,2327.58,40,8,29219.52,미진행,20110705,13,74.83659363,0.002561185,0.006515357,2011
서울특별시 용산구 한남동 257-9,(철근)콘크리트,벽돌구조,용산구,한남1동 경로당,66,3,173.16,0,19881102,경로당,37.53335378,127.0084063,한남동,50.484055,66,3,0,173.16,미진행,19881102,36,0.36017002,0.002079984,0.006195983,1988
서울특별시 광진구 중곡동 624-21,(철근)콘크리트,철근콘크리트구조,광진구,구립 중곡1동 자람터어린이집,117.31,3,398.36,0,20170227,어린이집,37.56030473,127.0772345,중곡동,29.911346,117.31,3,1,398.36,미진행,20170227,7,2.071555399,0.005200209,0.004031353,2017
서울특별시 광진구 능동 249-4,(철근)콘크리트,철근콘크리트구조,광진구,구립 능동 꿈맞이 어린이집,130.9,3,325.33,0,20170227,어린이집,37.5528114,127.0859748,능동,26.44153,130.9,3,0,325.33,미진행,20170227,7,1.941360269,0.005967357,0.005487979,2017
서울특별시 광진구 구의동 634-13,(철근)콘크리트,철근콘크리트구조,광진구,구립 구의1동 아이터어린이집,106.46,3,287.85,0,20170825,어린이집,37.54384805,127.0837692,구의동,37.61273,106.46,3,0,287.85,미진행,20170825,7,1.516493294,0.005268346,0.005165981,2017
서울특별시 광진구 광장동 5-117,기타지붕,철근콘크리트구조,광진구,아차산 숲속도서관,279.42,2,388.92,0,20220818,도서관,37.5518983,127.1012401,광장동,80.27217,422.55,4,0,502.41,미진행,20220818,2,1.384763687,0.002756242,0.00515851,2022
서울특별시 광진구 자양동 231-51,(철근)콘크리트,철근콘크리트구조,광진구,자양. 도담어린이집,152.53,4,497.98,0,20140414,어린이집,37.53619221,127.0799251,자양동,1.0017836,152.53,4,0,497.98,미진행,20140414,10,1.653416807,0.003320247,0.005267777,2014
서울특별시 광진구 자양동 594,기타지붕,철근콘크리트구조,광진구,자양문화체육센터,2056.22,3,2999.82,0,20191014,도서관,37.52954393,127.0782776,자양동,203.80154,2905.56,9,0,4282.62,미진행,20191014,5,75.05650702,0.017525839,0.005267777,2019
서울특별시 광진구 자양동 629-40,(철근)콘크리트,철근콘크리트구조,광진구,구립 자양1동 봄뜰어린이집,160.98,3,426.61,0,20180808,어린이집,37.53362236,127.0828301,자양동,23.384535,160.98,3,0,426.61,미진행,20180808,6,1.731532625,0.004058819,0.005267777,2018
서울특별시 광진구 군자동 342-10,기와,벽돌구조,광진구,양마2경로당,34.9,1,34.9,0,19841107,경로당,37.55178545,127.0705828,군자동,443.9077,34.9,1,0,34.9,미진행,19841107,40,0.197694855,0.005664609,0.00500837,1984
서울특별시 동대문구 제기동 681-2,(철근)콘크리트,철근콘크리트구조,동대문구,제기1동복지센타,249.3,4,1028.79,0,20011016,어린이집,37.58574946,127.0394795,제기동,2.271946,249.3,4,1,1028.79,미진행,20011016,23,2.498687218,0.002428763,0.005461522,2001
서울특별시 동대문구 전농동 558-40,(철근)콘크리트,벽돌구조,동대문구,전농1동경로당,0,2,167.58,0,19870616,경로당,37.57882492,127.0521326,전농동,41.630547,0,2,1,167.58,미진행,19870616,37,0.295490227,0.001763279,0.004796764,1987
서울특별시 동대문구 전농동 688,(철근)콘크리트,철근콘크리트구조,동대문구,래미안 아름숲,0,0,155.38,0,20120726,경로당,37.57833442,127.0604417,전농동,394.31024,8821.57,202,6,128425.39,미진행,20120726,12,164.0366413,0.001277291,0.004796764,2012
서울특별시 동대문구 전농동 690,(철근)콘크리트,철근콘크리트구조,동대문구,래미안 크레시티,0,0,960.858,0,20141023,경로당,37.57550131,127.0496964,전농동,358.64374,24041.4,512,21,370092.598,미진행,20141023,10,347.9322453,0.000940122,0.004796764,2014
서울특별시 동대문구 답십리동 50-35,(철근)콘크리트,철근콘크리트구조,동대문구,우아세어린이집,104.7,3,298.82,0,20210409,어린이집,37.57114586,127.0576966,답십리동,37.77701,104.7,3,1,298.82,미진행,20210409,3,1.684523133,0.00563725,0.004154543,2021
서울특별시 동대문구 답십리동 474-5,(철근)콘크리트,철근콘크리트구조,동대문구,동대문구 답십리 도서관,528.42,4,3142.69,0,20140227,도서관,37.57319448,127.0503628,답십리동,6.5884495,528.42,4,2,3142.69,미진행,20140227,10,7.80627503,0.002483947,0.004154543,2014
